First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills,Family Income Numeric
Aakanksha ,aakanksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,College,Students,2025,Godhra,7.5,4,7 Lakh+,21,no,8.0
Aishwarya,aishwarya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,College,Students,2025,Junagadh,9.9,3,0-2 Lakh,9,yes,1.0
punam,punam@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,College,Students,2026,Kheda,7.6,4,0-2 Lakh,7,no ,1.0
Kanika ,kanika@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Facebook,College,Students,2024,Morbi,7.9,7,0-2 Lakh,5,no ,1.0
Laxmikant,laxmikant@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,College,Students,2025,Navsari,7.4,7,5-7 Lakh,19,yes,6.0
Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Instagram | LinkedIn | Cloud Counselage Website,College,Students,2023,Surat,8.7,7,0-2 Lakh,5,no,1.0
Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,College,Students,2023,Valsad,9.5,7,0-2 Lakh,21,yes,1.0
Durga,durga@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,College,Students,2026,Ambala,6.9,3,0-2 Lakh,9,no,1.0
Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,College,Students,2024,Chandigarh,9.2,5,0-2 Lakh,9,no,1.0
Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Others,College,Students,2025,Faridabad,6.9,4,0-2 Lakh,17,no,1.0
ROHIT,rohit@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp,College,Students,2024,Gurugram,7.2,5,0-2 Lakh,13,no,1.0
Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,College,Students,2023,Hisar,7.5,4,0-2 Lakh,11,no,1.0
Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,College,Students,2025,Jind,6.5,3,0-2 Lakh,15,yes,1.0
Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,College,Students,2023,Kaithal,7.5,4,0-2 Lakh,19,yes,1.0
Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn,College,Students,2024,Karnal,6.9,3,0-2 Lakh,18,no ,1.0
Ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,College,Students,2026,Rewari,6.5,4,2-5 Lakh,23,yes,3.5
Harsh,harsh@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Others,Friends,Students,2023,Rohtak,7.3,3,5-7 Lakh,8,yes,6.0
Sanika ,sanika@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,College,Students,2023,Sirsa,6.7,5,7 Lakh+,9,no,8.0
Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,College,Students,2024,Sonipat,8.7,7,0-2 Lakh,7,no,1.0
Sonali ,sonali@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,College,Students,2025,Chamba,6.7,3,0-2 Lakh,13,no,1.0
Sushant ,sushant@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,College,Students,2025,Kangra,9.0,4,0-2 Lakh,19,yes,1.0
Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",LinkedIn,College,Students,2024,Hamirpur,7.2,4,0-2 Lakh,25,no,1.0
Krutika ,krutika@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,College,Students,2023,kullu,8.5,5,2-5 Lakh,22,no,3.5
Sachin,sachin@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,College,Students,2026,Mandi,6.5,4,5-7 Lakh,6,no,6.0
Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,College,Students,2024,Una,9.5,5,0-2 Lakh,20,no,1.0
Varun,varun@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp | Others,College,Students,2023,Anantnag,8.1,7,0-2 Lakh,15,yes,1.0
Anand,anand@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email,College,Students,2023,Doda,9.3,4,0-2 Lakh,19,no ,1.0
Karuna,karuna@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,College,Students,2024,Gulmarg,9.1,3,0-2 Lakh,13,no ,1.0
Vishal,vishal@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,College,Students,2023,Punch,7.8,5,0-2 Lakh,12,yes,1.0
Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,College,Students,2024,Srinagar,8.5,7,0-2 Lakh,10,no,1.0
Madhuri,madhuri@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,College,Students,2025,Udhampur,8.7,3,0-2 Lakh,10,no,1.0
Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Others,College,Students,2025,Ballari,9.4,7,5-7 Lakh,25,no,6.0
Rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,College,Students,2026,Hasan,7.7,5,0-2 Lakh,9,no,1.0
Somnath ,somnath@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,College,Students,2023,Kolar,7.5,3,0-2 Lakh,8,yes,1.0
Rahul ,rahul@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Facebook,College,Students,2025,Mysuru,7.2,5,2-5 Lakh,7,yes,3.5
Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,College,Students,2023,Kochi,7.6,4,5-7 Lakh,21,no ,6.0
Kalpesh,kalpesh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,College,Students,2024,Thrissur,7.3,5,0-2 Lakh,16,yes,1.0
Sunny,sunny@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,College,Students,2025,Bhopal,9.4,3,0-2 Lakh,21,yes,1.0
Sarvesh,sarvesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,College,Students,2026,Dhar,6.6,4,0-2 Lakh,8,no,1.0
Sanjay,sanjay@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,College,Students,2023,Indore,6.6,5,0-2 Lakh,7,no,1.0
amit,amit@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Cloud Counselage Website,College,Students,2023,Guna,8.5,3,0-2 Lakh,20,no,1.0
Akash,akash@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,College,Students,2025,Narwar,8.1,4,0-2 Lakh,13,no,1.0
Shraddha ,shraddha@xyz.com,1,Art of Resume Building,NAN,"Vidyalankar Institute of Technology, Mumbai",Email,College,Students,2025,Orchha,7.9,7,0-2 Lakh,24,no,1.0
Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,College,Students,2024,Sagar,7.1,7,0-2 Lakh,17,no,1.0
Pratiksha,pratiksha@xyz.com,1,Art of Resume Building,NAN,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,College,Students,2026,Ujjain,7.7,7,0-2 Lakh,21,no,1.0
Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Others,College,Students,2023,Vidisha,8.0,7,0-2 Lakh,8,yes,1.0
Nisha,nisha@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Others,College,Students,2024,Akola,6.5,7,0-2 Lakh,9,yes,1.0
Rehan,rehan@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Others,College,Students,2024,Aurangabad,9.4,7,0-2 Lakh,21,no ,1.0
Vinit ,vinit@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",LinkedIn,College,Students,2025,Bhandara,6.8,5,0-2 Lakh,7,no ,1.0
Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,College,Students,2025,Bhsawal,6.7,4,0-2 Lakh,25,yes,1.0
Pratiksha ,pratiksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Instagram | Email,College,Students,2023,Bid,7.9,7,0-2 Lakh,21,yes,1.0
Ninad,ninad@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,College,Students,2023,Buldhana,9.3,5,0-2 Lakh,30,no,1.0
Satish ,satish@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,College,Students,2024,Dhule,6.9,4,0-2 Lakh,24,no,1.0
Vignesh,vignesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,College,Students,2026,Jalgaon,8.9,4,0-2 Lakh,8,no,1.0
Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,College,Students,2024,Kalyan,8.3,7,0-2 Lakh,19,yes,1.0
Ayushi,ayushi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,College,Students,2025,Thane,7.2,4,0-2 Lakh,21,no,1.0
Yash,yash@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,College,Students,2023,Navi Mumbai,8.1,7,0-2 Lakh,17,no,1.0
ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,College,Students,2024,Nagpur,9.6,3,0-2 Lakh,9,no,1.0
Leah,leah@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,College,Students,2023,Nanded,7.5,3,0-2 Lakh,8,no,1.0
Simran,simran@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Cloud Counselage Website,College,Students,2024,Kolhapur,7.9,7,0-2 Lakh,8,yes,1.0
Puja,puja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,College,Students,2026,Karli,9.3,3,0-2 Lakh,8,yes,1.0
Krutika,krutika@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,College,Students,2023,Matheran,9.6,4,0-2 Lakh,8,no ,1.0
Kapil,kapil@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Cloud Counselage Website,College,Students,2025,Nashik,9.1,7,0-2 Lakh,24,no ,1.0
Pallavi ,pallavi@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,College,Students,2025,Solapur,7.5,7,0-2 Lakh,9,yes,1.0
Himani ,himani@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,College,Students,2024,Satara,7.6,7,0-2 Lakh,17,no,1.0
Sachi,sachi@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,College,Students,2023,Sangola,7.2,7,0-2 Lakh,11,no,1.0
Yogita,yogita@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,College,Students,2024,Vasai,7.1,5,0-2 Lakh,18,no,1.0
Bhagyashri,bhagyashri@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,College,Students,2024,Shillong,7.1,4,0-2 Lakh,12,no,1.0
shashank,shashank@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,College,Students,2025,Puri,9.5,7,0-2 Lakh,23,no,1.0
Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,Whatsapp,College,Students,2023,konark,9.2,5,0-2 Lakh,8,no,1.0
Satish,satish@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Whatsapp,College,Students,2023,Cuttack,7.9,5,0-2 Lakh,9,yes,1.0
Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,LinkedIn,College,Students,2023,Amritsar,7.8,3,0-2 Lakh,19,no ,1.0
Kajal,kajal@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,College,Students,2025,Patiala,9.1,4,0-2 Lakh,25,yes,1.0
Aditya,aditya@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,College,Students,2025,Sangrur,6.9,7,0-2 Lakh,22,yes,1.0
Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,College,Students,2023,Ajmer,8.4,4,7 Lakh+,6,no,8.0
Sonal,sonal@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Amer,6.7,4,0-2 Lakh,9,no,1.0
Ashwini,ashwini@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,College,Students,2024,Barmer,9.2,7,0-2 Lakh,20,no,1.0
Sagar,sagar@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",LinkedIn | Email | Cloud Counselage Website,College,Students,2023,Bikaner,7.3,5,0-2 Lakh,15,yes,1.0
Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Others,College,Students,2025,Jaipur,7.9,4,0-2 Lakh,17,no,1.0
Himanshu,himanshu@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Youtube | Facebook | Instagram | Whatsapp | Email,College,Students,2023,Jhalwar,7.6,7,0-2 Lakh,13,no,1.0
Anushka,anushka@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Email,College,Students,2025,Jodhpur,9.3,5,0-2 Lakh,11,no,1.0
Aaron,aaron@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Email,College,Students,2023,Sikar,6.6,3,0-2 Lakh,10,yes,1.0
Darsh,darsh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Email,College,Students,2023,Gangtok,7.8,7,2-5 Lakh,10,no ,3.5
Rajkumar,rajkumar@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Email | Others,College,Students,2026,Hyderbad,8.7,4,0-2 Lakh,15,no ,1.0
Rushikesh ,rushikesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Cloud Counselage Website,College,Students,2025,Nizambad,7.2,7,0-2 Lakh,12,yes,1.0
Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,NAN,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,College,Students,2025,Agartala,7.1,3,0-2 Lakh,20,yes,1.0
Mona ,mona@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,College,Students,2024,Agra,8.0,7,0-2 Lakh,21,no,1.0
Chetan ,chetan@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Email,College,Students,2024,Aligarh,8.5,7,0-2 Lakh,9,no,1.0
Apurva,apurva@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,College,Students,2023,Gonda,8.5,7,0-2 Lakh,9,no,1.0
Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Email,College,Students,2023,Ghazipur,9.1,3,0-2 Lakh,8,yes,1.0
Aditya,aditya@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,College,Students,2026,Ghaziabad,9.7,4,0-2 Lakh,7,no,1.0
Vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,Silicon Institute of Technology,Email,College,Students,2024,Gonda,8.7,7,0-2 Lakh,21,no,1.0
Swapnali,swapnali@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,College,Students,2024,Gorakhpur,6.5,3,0-2 Lakh,5,no,1.0
Manish,manish@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,College,Students,2025,Hamirpur,8.8,5,0-2 Lakh,16,no,1.0
Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Whatsapp,College,Students,2023,Deoria,9.3,7,0-2 Lakh,21,no,1.0
Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,College,Students,2023,Budaun,7.6,4,0-2 Lakh,8,yes,1.0
SANKET,sanket@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Email,College,Students,2024,Mathura,9.2,5,0-2 Lakh,13,yes,1.0
Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn | Whatsapp,College,Students,2023,Mainpuri,7.3,7,0-2 Lakh,24,yes,1.0
Harshal,harshal@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,College,Students,2025,Varanasi,7.6,7,0-2 Lakh,17,no,1.0
Abhishek ,abhishek@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,College,Students,2023,Almora,7.1,7,0-2 Lakh,11,no,1.0
Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,College,Students,2025,Alipore,8.3,3,0-2 Lakh,21,no,1.0
Rushikesh,rushikesh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,College,Students,2024,Haora,9.2,3,0-2 Lakh,8,yes,1.0
Priyanka ,priyanka@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Others,College,Students,2023,Hugli,9.3,5,0-2 Lakh,8,no,1.0
Vishal,vishal@xyz.com,1,Art of Resume Building,NAN,St.Francis Institute of Technology,Youtube | Facebook,College,Students,2023,Palashi,7.3,4,0-2 Lakh,21,no,1.0
